P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_Method,P_SL,P_ReSL,P_OM,Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Price,CE.SL.Price,CE0.SL.Flag,CE0.SL.Time,CE0.PNL,CE1.Decay.Flag,CE1.Decay.Time,CE1.SL.Flag,CE1.SL.Time,CE1.PNL,CE2.Decay.Flag,CE2.Decay.Time,CE2.SL.Flag,CE2.SL.Time,CE2.PNL,CE3.Decay.Flag,CE3.Decay.Time,CE3.SL.Flag,CE3.SL.Time,CE3.PNL,CE4.Decay.Flag,CE4.Decay.Time,CE4.SL.Flag,CE4.SL.Time,CE4.PNL,CE5.Decay.Flag,CE5.Decay.Time,CE5.SL.Flag,CE5.SL.Time,CE5.PNL,CE6.Decay.Flag,CE6.Decay.Time,CE6.SL.Flag,CE6.SL.Time,CE6.PNL,CE7.Decay.Flag,CE7.Decay.Time,CE7.SL.Flag,CE7.SL.Time,CE7.PNL,PE.Strike,PE.Price,PE.SL.Price,PE0.SL.Flag,PE0.SL.Time,PE0.PNL,PE1.Decay.Flag,PE1.Decay.Time,PE1.SL.Flag,PE1.SL.Time,PE1.PNL,PE2.Decay.Flag,PE2.Decay.Time,PE2.SL.Flag,PE2.SL.Time,PE2.PNL,PE3.Decay.Flag,PE3.Decay.Time,PE3.SL.Flag,PE3.SL.Time,PE3.PNL,PE4.Decay.Flag,PE4.Decay.Time,PE4.SL.Flag,PE4.SL.Time,PE4.PNL,PE5.Decay.Flag,PE5.Decay.Time,PE5.SL.Flag,PE5.SL.Time,PE5.PNL,PE6.Decay.Flag,PE6.Decay.Time,PE6.SL.Flag,PE6.SL.Time,PE6.PNL,PE7.Decay.Flag,PE7.Decay.Time,PE7.SL.Flag,PE7.SL.Time,PE7.PNL
NRE,SENSEX,9:20:00,15:25:00,sell,HL,20,20,1,23-07-2024,Tuesday,4,9:20:00,80605.25,80500CE,832,998.4,FALSE,,403.3,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,80700PE,812.3,974.7599999999999,TRUE,23-07-2024 10:17,-172.61,TRUE,23-07-2024 11:00,TRUE,23-07-2024 11:17,-172.61,TRUE,23-07-2024 11:17,TRUE,23-07-2024 12:17,-172.61,TRUE,23-07-2024 13:56,FALSE,,183.45,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0
NRE,SENSEX,9:20:00,15:25:00,sell,HL,20,20,1,24-07-2024,Wednesday,3,9:20:00,80429.84,79600CE,937.25,1124.7,FALSE,,200.38,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,81100PE,904.4,1085.28,TRUE,24-07-2024 11:43,-192.18,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0
NRE,SENSEX,9:20:00,15:25:00,sell,HL,20,20,1,25-07-2024,Thursday,2,9:20:00,79541.94,78900CE,840,1008,TRUE,25-07-2024 10:35,-178.5,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,80300PE,803.9,964.68,FALSE,,401.4,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0
NRE,SENSEX,9:20:00,15:25:00,sell,HL,20,20,1,26-07-2024,Friday,1,9:20:00,80186.13,79400CE,848.3,1017.9599999999999,TRUE,26-07-2024 09:37,-180.26,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,81000PE,807,968.4,FALSE,,796.86,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0
NRE,SENSEX,9:20:00,15:25:00,sell,HL,20,20,1,29-07-2024,Monday,5,9:20:00,81645.47,80900CE,917.35,1100.82,TRUE,29-07-2024 11:51,-194.94,TRUE,29-07-2024 12:11,FALSE,,134.98,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,82300PE,892.5,1071,TRUE,29-07-2024 12:19,-189.66,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0
NRE,SENSEX,9:20:00,15:25:00,sell,HL,20,20,1,30-07-2024,Tuesday,4,9:20:00,81312.92,80700CE,852.9,1023.4799999999999,TRUE,30-07-2024 10:54,-181.24,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,82000PE,893.95,1072.74,FALSE,,195.13,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0
NRE,SENSEX,9:20:00,15:25:00,sell,HL,20,20,1,31-07-2024,Wednesday,3,9:20:00,81599.63,80900CE,828.8,994.56,FALSE,,-140.96,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,82300PE,834.65,1001.5799999999999,FALSE,,102.97,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0
NRE,SENSEX,9:20:00,15:25:00,sell,HL,20,20,1,01-08-2024,Thursday,2,9:20:00,82038.73,81300CE,821.15,985.3799999999999,FALSE,,183.24,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,82800PE,851.1,1021.3199999999999,TRUE,01-08-2024 12:28,-180.86,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0
NRE,SENSEX,9:20:00,15:25:00,sell,HL,20,20,1,02-08-2024,Friday,1,9:20:00,81284.93,80500CE,804.5,965.4,FALSE,,311.54,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,82000PE,801.6,961.92,TRUE,02-08-2024 09:42,-170.34,TRUE,02-08-2024 11:23,TRUE,02-08-2024 14:34,-170.34,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0
NRE,SENSEX,9:20:00,15:25:00,sell,HL,20,20,1,05-08-2024,Monday,5,9:20:00,79562.31,79400CE,779.8,935.7599999999999,FALSE,,203,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,79600PE,789,946.8,TRUE,05-08-2024 10:49,-167.66,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0,FALSE,,FALSE,,0
