Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Flag,PE.SL.Time,PE.PNL
2024-02-19,Monday,5,09:20:00,72503.22,72600CE,541.6,748.65,436.05,582.8,True,2024-02-19 11:15:00,-115.09,72600PE,588.0,710.0,425.0,505.5,True,2024-02-19 09:56:00,-124.95
2024-02-20,Tuesday,4,09:20:00,72547.17,72500CE,557.65,832.3,546.3,813.1,True,2024-02-20 09:43:00,-118.5,72500PE,513.5,538.4,272.35,277.05,False,,230.03
2024-02-21,Wednesday,3,09:20:00,73106.8,73100CE,441.4,475.5,145.5,153.7,False,,282.18,73100PE,473.15,815.2,336.25,760.15,True,2024-02-21 14:02:00,-100.54
2024-02-22,Thursday,2,09:20:00,72571.98,72600CE,342.1,725.4,143.0,723.0,True,2024-02-22 14:01:00,-72.7,72600PE,372.35,666.0,50.4,51.0,True,2024-02-22 09:29:00,-79.12
2024-02-23,Friday,1,09:20:00,73267.09,73300CE,212.75,250.0,0.1,0.2,False,,209.89,73300PE,199.0,298.45,65.0,153.05,True,2024-02-23 09:27:00,-42.29
2024-02-26,Monday,5,09:20:00,72961.86,73100CE,587.95,669.95,469.2,491.35,False,,89.25,73100PE,612.45,744.15,531.15,632.65,True,2024-02-26 12:18:00,-130.15
2024-02-27,Tuesday,4,09:20:00,72685.54,72800CE,561.9,771.25,546.6,674.65,True,2024-02-27 12:49:00,-119.4,72800PE,544.15,541.55,329.1,350.0,False,,187.35
2024-02-28,Wednesday,3,09:20:00,73109.55,73200CE,432.9,448.8,121.25,127.0,False,,300.49,73200PE,477.55,1070.5,407.05,1032.6,True,2024-02-28 10:51:00,-101.48
2024-02-29,Thursday,2,09:20:00,72298.43,72300CE,418.7,614.05,306.3,519.25,True,2024-02-29 09:33:00,-88.97,72300PE,395.9,477.05,122.2,124.25,True,2024-02-29 10:16:00,-84.13
2024-03-01,Friday,1,09:20:00,72878.07,72900CE,213.55,980.0,208.3,850.2,True,2024-03-01 09:22:00,-45.38,72900PE,244.45,260.0,0.1,0.1,False,,241.29
2024-03-04,Monday,4,09:20:00,73942.48,74000CE,514.6,518.95,333.05,368.45,False,,139.72,74000PE,514.75,610.0,450.0,482.85,False,,25.47
2024-03-05,Tuesday,3,09:20:00,73704.38,73800CE,389.25,441.25,194.95,262.9,False,,121.48,73800PE,438.3,590.2,297.65,390.25,True,2024-03-05 10:19:00,-93.14
2024-03-06,Wednesday,2,09:20:00,73559.07,73600CE,301.85,725.45,194.9,671.3,True,2024-03-06 09:44:00,-64.14,73600PE,329.0,446.75,64.0,69.85,True,2024-03-06 10:02:00,-69.91
2024-03-07,Thursday,1,09:20:00,74080.46,74100CE,193.85,250.0,9.0,16.25,True,2024-03-07 11:04:00,-41.19,74100PE,193.2,208.3,0.2,0.4,False,,190.38
2024-03-11,Monday,5,09:20:00,74087.28,74100CE,517.7,526.65,259.7,265.0,False,,246.23,74100PE,493.1,764.8,459.4,720.55,True,2024-03-11 10:49:00,-104.78
2024-03-12,Tuesday,4,09:20:00,73624.7,73700CE,442.2,645.7,338.25,491.0,True,2024-03-12 09:35:00,-93.97,73700PE,440.3,565.0,269.35,375.65,True,2024-03-12 10:47:00,-93.56
2024-03-13,Wednesday,3,09:20:00,73896.22,73900CE,416.55,426.85,59.7,61.0,False,,350.34,73900PE,389.85,1324.2,375.15,1258.55,True,2024-03-13 09:37:00,-82.84
