Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Flag,PE.SL.Time,PE.PNL
2024-04-12,Friday,3,09:20:00,21682.05,21650CE,117.35,116.45,49.25,53.85,False,,62.33,21650PE,107.1,175.3,106.15,151.05,True,2024-04-12 09:44:00,-22.49
2024-04-15,Monday,2,09:20:00,21360.0,21300CE,113.55,126.45,19.8,24.05,False,,88.36,21300PE,90.5,195.75,51.85,193.4,True,2024-04-15 09:39:00,-19.0
2024-04-16,Tuesday,1,09:20:00,21044.2,21000CE,44.2,113.5,32.0,98.25,True,2024-04-16 09:43:00,-9.28,21000PE,59.9,64.85,0.05,0.1,False,,59.2
2024-04-18,Thursday,4,09:20:00,21261.0,21250CE,117.05,122.1,40.25,48.05,False,,67.83,21250PE,136.45,392.5,128.1,327.55,True,2024-04-18 09:34:00,-28.65
2024-04-19,Friday,3,09:20:00,20820.7,20800CE,156.45,441.55,143.65,430.75,True,2024-04-19 09:25:00,-32.85,20800PE,171.2,188.3,48.5,59.05,False,,110.44
2024-04-22,Monday,2,09:20:00,21300.0,21300CE,91.15,108.0,48.9,96.55,False,,-6.31,21300PE,112.95,161.8,40.7,42.8,True,2024-04-22 09:42:00,-23.72
2024-04-23,Tuesday,1,09:20:00,21407.75,21400CE,41.4,63.7,0.05,0.05,True,2024-04-23 09:26:00,-8.69,21400PE,53.15,110.0,42.95,65.75,True,2024-04-23 09:21:00,-11.16
2024-04-24,Wednesday,5,09:20:00,21377.2,21400CE,131.4,189.7,125.75,165.55,True,2024-04-24 09:51:00,-27.59,21400PE,151.0,154.5,97.75,114.4,False,,35.09
2024-04-25,Thursday,4,09:20:00,21345.3,21350CE,125.95,318.0,123.65,265.0,True,2024-04-25 09:31:00,-26.45,21350PE,127.5,128.7,53.6,58.25,False,,67.97
2024-04-26,Friday,3,09:20:00,21491.45,21500CE,116.9,144.35,44.65,71.0,True,2024-04-26 09:40:00,-24.55,21500PE,123.0,235.05,106.3,176.0,True,2024-04-26 10:03:00,-25.83
2024-04-29,Monday,2,09:20:00,21466.55,21450CE,102.8,402.6,81.1,372.25,True,2024-04-29 10:16:00,-21.59,21450PE,84.8,91.3,7.9,8.4,False,,75.55
2024-04-30,Tuesday,1,09:20:00,21815.25,21800CE,66.85,297.45,38.8,41.05,True,2024-04-30 09:31:00,-14.04,21800PE,54.7,72.4,0.2,0.2,True,2024-04-30 09:27:00,-11.49
2024-05-02,Thursday,4,09:20:00,21915.0,21900CE,150.6,181.0,110.65,138.95,True,2024-05-02 10:09:00,-31.63,21900PE,139.35,186.95,107.1,122.0,True,2024-05-02 11:09:00,-29.26
2024-05-03,Friday,3,09:20:00,22140.05,22100CE,136.8,149.35,26.6,31.05,False,,104.38,22100PE,114.6,373.0,106.9,283.25,True,2024-05-03 10:05:00,-24.07
2024-05-06,Monday,2,09:20:00,21838.4,21850CE,96.95,148.0,33.85,43.3,True,2024-05-06 09:25:00,-20.36,21850PE,119.35,153.0,59.15,104.05,True,2024-05-06 09:42:00,-25.06
2024-05-07,Tuesday,1,09:20:00,21807.5,21800CE,49.9,89.95,0.05,0.1,True,2024-05-07 09:22:00,-10.48,21800PE,72.45,275.0,60.55,255.45,True,2024-05-07 09:21:00,-15.21
2024-05-08,Wednesday,5,09:20:00,21518.85,21500CE,169.85,186.3,114.5,123.95,False,,44.2,21500PE,172.5,220.55,144.65,185.2,True,2024-05-08 10:22:00,-36.22
2024-05-09,Thursday,4,09:20:00,21472.4,21450CE,137.95,140.5,29.55,33.1,False,,103.47,21450PE,161.65,397.55,158.15,381.9,True,2024-05-09 10:12:00,-33.95
2024-05-10,Friday,3,09:20:00,21160.2,21100CE,133.55,251.2,89.9,117.1,True,2024-05-10 09:23:00,-28.05,21100PE,142.5,167.45,55.7,107.5,False,,33.58
2024-05-13,Monday,2,09:20:00,21130.0,21050CE,108.7,264.35,46.1,243.8,True,2024-05-13 12:27:00,-22.83,21050PE,110.1,163.35,11.35,12.25,True,2024-05-13 09:34:00,-23.12
2024-05-14,Tuesday,1,09:20:00,21355.0,21250CE,76.0,86.05,1.35,5.9,True,2024-05-14 09:20:00,-15.96,21250PE,55.0,125.0,0.05,0.05,True,2024-05-14 09:23:00,-11.55
2024-05-15,Wednesday,4,09:20:00,21314.0,21250CE,169.4,198.35,108.3,138.9,False,,28.81,21250PE,153.95,189.65,117.45,140.55,True,2024-05-15 11:30:00,-32.33
2024-05-16,Thursday,3,09:20:00,21374.55,21350CE,119.6,176.95,60.15,173.7,True,2024-05-16 12:14:00,-25.12,21350PE,126.9,289.3,72.55,77.65,True,2024-05-16 09:32:00,-26.65
2024-05-17,Friday,2,09:20:00,21400.3,21350CE,127.65,206.55,107.1,174.6,True,2024-05-17 09:57:00,-26.81,21350PE,103.15,112.25,30.25,36.4,False,,65.72
2024-05-21,Tuesday,1,09:20:00,21500.2,21500CE,52.9,63.75,0.05,0.1,True,2024-05-21 09:22:00,-11.11,21500PE,72.9,102.9,38.6,60.05,True,2024-05-21 09:34:00,-15.31
2024-05-22,Wednesday,5,09:20:00,21426.6,21450CE,146.3,149.9,80.8,129.0,False,,15.84,21450PE,166.3,267.7,149.45,153.0,True,2024-05-22 09:43:00,-34.92
2024-05-23,Thursday,4,09:20:00,21443.5,21450CE,138.55,376.2,123.75,353.75,True,2024-05-23 09:49:00,-29.1,21450PE,139.65,149.0,37.75,41.15,False,,97.1
2024-05-24,Friday,3,09:20:00,21759.1,21750CE,145.45,222.75,111.5,181.15,True,2024-05-24 09:22:00,-30.54,21750PE,127.7,148.1,52.8,59.4,False,,67.02
2024-05-27,Monday,2,09:20:00,21939.4,21950CE,89.0,260.45,48.1,97.9,True,2024-05-27 09:25:00,-18.69,21950PE,101.35,113.9,17.15,55.0,False,,45.34
2024-05-28,Tuesday,1,09:20:00,22030.2,22050CE,55.6,77.15,0.05,0.05,True,2024-05-28 09:21:00,-11.68,22050PE,73.85,131.2,45.4,66.7,True,2024-05-28 09:35:00,-15.51
2024-05-29,Wednesday,5,09:20:00,22050.0,21900CE,409.15,429.55,297.3,328.1,False,,76.96,21900PE,395.75,527.85,373.5,499.8,True,2024-05-29 11:17:00,-83.11
2024-05-30,Thursday,4,09:20:00,21869.35,21750CE,390.8,413.25,293.9,347.9,False,,38.99,21750PE,394.3,463.4,336.0,407.2,False,,-16.84
2024-05-31,Friday,3,09:20:00,21858.9,21750CE,360.4,436.1,265.05,415.9,True,2024-05-31 15:18:00,-75.68,21750PE,344.9,437.0,308.65,367.0,True,2024-05-31 10:22:00,-72.43
2024-06-03,Monday,2,09:20:00,22500.0,22400CE,312.35,474.0,187.1,470.0,True,2024-06-03 15:01:00,-65.59,22400PE,324.85,418.2,173.5,198.6,True,2024-06-03 09:22:00,-68.22
2024-06-04,Tuesday,1,09:20:00,22333.0,22250CE,236.3,275.65,0.05,0.05,False,,233.89,22250PE,260.05,2000.0,255.3,1431.95,True,2024-06-04 09:21:00,-54.61
2024-06-05,Wednesday,5,09:20:00,20904.6,20800CE,286.15,1028.2,235.0,885.6,True,2024-06-05 09:21:00,-60.09,20800PE,306.6,504.0,41.9,59.05,True,2024-06-05 09:20:00,-64.39
2024-06-06,Thursday,4,09:20:00,21859.0,21800CE,249.65,386.55,225.45,287.1,True,2024-06-06 09:36:00,-52.43,21800PE,261.5,310.0,139.75,159.95,False,,98.94
2024-06-07,Friday,3,09:20:00,21916.55,21850CE,225.15,438.55,223.75,386.5,True,2024-06-07 09:26:00,-47.28,21850PE,201.8,201.6,61.7,71.85,False,,127.93
2024-06-10,Monday,2,09:20:00,22323.55,22300CE,136.8,151.65,27.55,29.3,False,,106.13,22300PE,153.55,301.6,97.75,267.2,True,2024-06-10 09:34:00,-32.25
2024-06-11,Tuesday,1,09:20:00,22110.1,22050CE,73.45,180.0,51.75,73.95,True,2024-06-11 09:20:00,-15.42,22050PE,68.0,73.3,0.05,0.05,False,,67.27
2024-06-12,Wednesday,4,09:20:00,22186.05,22150CE,158.9,304.0,156.85,191.5,True,2024-06-12 09:45:00,-33.37,22150PE,157.5,158.95,70.35,115.15,False,,40.77
2024-06-13,Thursday,3,09:20:00,22399.0,22350CE,140.15,147.7,70.05,91.45,False,,47.3,22350PE,118.8,162.95,101.45,122.0,True,2024-06-13 09:41:00,-24.95
2024-06-14,Friday,2,09:20:00,22352.3,22300CE,98.6,175.0,59.4,130.55,True,2024-06-14 10:00:00,-20.71,22300PE,75.95,109.85,27.65,36.15,True,2024-06-14 09:21:00,-15.95
2024-06-18,Tuesday,1,09:20:00,22461.0,22450CE,46.45,135.75,26.1,132.8,True,2024-06-18 09:33:00,-9.75,22450PE,63.2,139.9,0.05,0.05,True,2024-06-18 09:22:00,-13.27
2024-06-19,Wednesday,5,09:20:00,22639.85,22650CE,146.35,541.8,132.6,384.95,True,2024-06-19 09:22:00,-30.73,22650PE,156.25,182.7,56.5,62.2,False,,92.49
2024-06-20,Thursday,4,09:20:00,22949.95,22950CE,174.65,207.25,93.25,182.5,False,,-9.6,22950PE,183.55,245.0,90.85,99.0,True,2024-06-20 09:49:00,-38.55
2024-06-21,Friday,3,09:20:00,23020.0,23000CE,146.1,148.3,54.25,87.75,False,,56.89,23000PE,122.65,221.4,96.45,122.1,True,2024-06-21 09:43:00,-25.76
2024-06-24,Monday,2,09:20:00,22881.95,22900CE,92.55,240.45,57.6,224.05,True,2024-06-24 10:32:00,-19.44,22900PE,111.6,147.9,21.55,24.95,True,2024-06-24 09:40:00,-23.44
2024-06-25,Tuesday,1,09:20:00,23169.8,23150CE,91.4,386.35,57.8,363.6,True,2024-06-25 09:21:00,-19.19,23150PE,69.2,71.35,0.05,0.05,False,,68.46
2024-06-26,Wednesday,5,09:20:00,23550.0,23500CE,202.1,257.2,147.7,214.1,True,2024-06-26 11:30:00,-42.44,23500PE,191.3,246.35,115.5,142.05,True,2024-06-26 10:01:00,-40.17
2024-06-27,Thursday,4,09:20:00,23620.0,23600CE,157.25,293.4,135.55,191.1,True,2024-06-27 09:54:00,-33.02,23600PE,176.95,194.0,95.15,124.35,False,,50.83
2024-06-28,Friday,3,09:20:00,23675.95,23650CE,156.1,189.6,54.3,61.6,True,2024-06-28 09:40:00,-32.78,23650PE,144.85,260.4,106.6,234.25,True,2024-06-28 11:17:00,-30.42
2024-07-01,Monday,2,09:20:00,23473.75,23400CE,119.6,293.5,98.8,256.0,True,2024-07-01 09:31:00,-25.12,23400PE,101.25,124.45,14.05,19.8,True,2024-07-01 09:22:00,-21.26
2024-07-02,Tuesday,1,09:20:00,23691.75,23600CE,99.6,104.25,0.05,0.1,False,,98.5,23600PE,88.45,260.1,68.8,98.75,True,2024-07-02 09:28:00,-18.57
2024-07-03,Wednesday,5,09:20:00,23871.4,23850CE,179.55,278.4,172.9,203.85,True,2024-07-03 09:22:00,-37.71,23850PE,184.25,192.25,124.95,143.2,False,,39.21
2024-07-04,Thursday,4,09:20:00,23933.75,23900CE,169.15,211.95,101.85,135.35,True,2024-07-04 09:51:00,-35.52,23900PE,160.65,205.0,109.3,147.9,True,2024-07-04 10:41:00,-33.74
2024-07-05,Friday,3,09:20:00,23696.45,23650CE,125.85,132.0,70.45,98.8,False,,25.79,23650PE,135.15,233.0,98.85,115.0,True,2024-07-05 09:24:00,-28.38
